Test,Rate,Burst,RX,TX,RX Througput,TX Througput,Packet Loss,Avg RX TP,AVG PL,Avg TX TP,,,,,0.666666667
1,1,1,"12,952,236","12,952,236",0.442102989,0.442102989,0,0.43335573,0.002145113,0.434315913,,,,1,1
2,1,1,"12,106,294","12,106,300",0.413228169,0.413228373,4.9561E-07,0.49310976,2.56721E-08,0.493109771,,,,1,2
3,1,1,"13,029,376","13,113,761",0.444736034,0.447616375,0.006434844,0.55199645,0.000549441,0.552338409,,,,1,3
1,1,2,"12,526,532","12,526,532",0.427572292,0.427572292,0,0.639758154,0.052522402,0.682066921,,,,2,4
2,1,2,"17,828,922","17,828,922",0.608560538,0.608560538,0,1.399112693,0.000466178,1.399769668,,,,2,0
3,1,2,"12,984,271","12,984,272",0.44319645,0.443196484,7.70163E-08,1.529310879,0.397557793,2.541997716,,,,2,0
1,1,4,"14,170,282","14,172,520",0.483678959,0.483755349,0.000157911,1.095150979,0.694580792,3.586135973,,,,3,0
2,1,4,"13,486,307","13,492,340",0.460332612,0.460538539,0.000447143,0.516940163,0.907505226,5.613395092,,,,3,0
3,1,4,"20,858,724","20,880,508",0.711977779,0.71272134,0.00104327,1.528797503,0.000244176,1.52917917,,,,3,0
1,1,8,"21,891,777","23,772,096",0.747239322,0.811420877,0.079097737,1.299851344,0.571375502,3.033532575,,,,4,0
2,1,8,"21,669,456","23,500,808",0.739650765,0.802160913,0.077927193,0.726680895,0.851230665,4.885264612,,,,4,0
3,1,8,"12,667,511","12,674,384",0.432384375,0.432618974,0.000542275,0.322368,0.956299032,7.394278514,,,,4,0
1,20,1,"40,900,689","40,954,529",1.396076851,1.39791459,0.001314629,1.415151866,0.000229029,1.415473459,,,,,
2,20,1,"46,663,503","46,667,362",1.592780902,1.592912623,8.26916E-05,1.35757386,0.54772482,3.002215128,,,,,
3,20,1,"35,404,697","35,404,740",1.208480324,1.208481792,1.21453E-06,0.683115099,0.86384579,5.059333689,,,,,
1,20,2,"44,782,854","74,197,210",1.528588083,2.532598101,0.396434799,0.335416172,0.953835466,7.267329001,,,,,
2,20,2,"44,193,468","77,508,164",1.508470374,2.645611998,0.429821767,1.39360091,0.000196451,1.393871531,,,,,
3,20,2,"45,435,767","71,712,394",1.55087418,2.447783049,0.366416815,1.14386936,0.660555509,3.372367531,,,,,
1,20,4,"32,201,941","104,290,028",1.099159586,3.559766289,0.691227037,0.82569835,0.813802175,4.435547614,,,,,
2,20,4,"32,163,529","104,550,432",1.097848457,3.568654746,0.6923635,0.26237547,0.966836914,8.063430201,,,,,
3,20,4,"31,888,034","106,347,272",1.088444894,3.629986884,0.700151838,1.494488701,0.000258488,1.494881417,,,,,
1,20,8,"15,296,047","150,266,147",0.522105071,5.129084484,0.898206966,1.276136732,0.584198021,3.069997056,,,,,
2,20,8,"14,981,981","172,389,264",0.511384951,5.884220211,0.913092146,0.808303104,0.819668156,4.559807511,,,,,
3,20,8,"15,156,166","170,709,392",0.517330466,5.82688058,0.911216566,0.232117339,0.972156983,8.470520445,,,,,
1,40,1,"42,008,199","42,011,152",1.433879859,1.433980655,7.02909E-05,0,0,0,,,,,
2,40,1,"46,187,295","46,203,179",1.576526336,1.57706851,0.000343786,0,0,0,,,,,
3,40,1,"46,171,474","46,186,182",1.575986313,1.576488346,0.00031845,0,0,0,,,,,
1,40,2,"38,213,148","88,654,356",1.304342118,3.026068685,0.568964801,0,0,0,,,,,
2,40,2,"37,220,012","90,148,668",1.270443076,3.077074534,0.587126323,0,0,0,,,,,
3,40,2,"38,811,587","87,816,050",1.324768836,2.997454507,0.558035382,0,0,0,,,,,
1,40,4,"21,146,680","144,181,536",0.721806677,4.921396429,0.853332954,0,0,0,,,,,
2,40,4,"21,137,101","143,582,560",0.721479714,4.900951381,0.852787825,0,0,0,,,,,
3,40,4,"21,584,657","141,604,864",0.736756292,4.833446025,0.847571218,0,0,0,,,,,
1,40,8,"8,973,928","221,564,000",0.306310076,7.562717867,0.959497355,0,0,0,,,,,
2,40,8,"9,130,260","219,955,760",0.311646208,7.507823275,0.958490471,0,0,0,,,,,
3,40,8,"10,228,937","208,368,000",0.349147716,7.1122944,0.950909271,0,0,0,,,,,
1,60,1,"42,257,475","42,266,310",1.44238848,1.442690048,0.000209032,0,0,0,,,,,
